,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:01:37.510000,VER,1,0 days 00:01:37.284000,1.0,1.0,,,,41.266,23.616,,0 days 01:01:13.987000,0 days 01:01:37.669000,234.0,250.0,276.0,251.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:59:59.911000,2024-03-02 15:03:42.342,2,1.0,False,,False,False,97.284,
1,0 days 01:03:13.806000,VER,1,0 days 00:01:36.296000,2.0,1.0,,,30.916,41.661,23.719,0 days 01:02:08.426000,0 days 01:02:50.087000,0 days 01:03:13.806000,232.0,248.0,276.0,287.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:01:37.510000,2024-03-02 15:05:19.941,1,1.0,False,,False,True,96.296,96.29599999999999
2,0 days 01:04:50.559000,VER,1,0 days 00:01:36.753000,3.0,1.0,,,30.999,41.966,23.788,0 days 01:03:44.805000,0 days 01:04:26.771000,0 days 01:04:50.559000,231.0,243.0,276.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:03:13.806000,2024-03-02 15:06:56.237,1,1.0,False,,False,True,96.753,96.753
3,0 days 01:06:27.206000,VER,1,0 days 00:01:36.647000,4.0,1.0,,,30.931,41.892,23.824,0 days 01:05:21.490000,0 days 01:06:03.382000,0 days 01:06:27.206000,233.0,253.0,276.0,,False,SOFT,7.0,False,Red Bull Racing,0 days 01:04:50.559000,2024-03-02 15:08:32.990,1,1.0,False,,False,True,96.647,96.647
4,0 days 01:08:04.379000,VER,1,0 days 00:01:37.173000,5.0,1.0,,,31.255,42.056,23.862,0 days 01:06:58.461000,0 days 01:07:40.517000,0 days 01:08:04.379000,231.0,245.0,276.0,289.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:06:27.206000,2024-03-02 15:10:09.637,1,1.0,False,,False,True,97.173,97.17299999999999
5,0 days 01:09:41.471000,VER,1,0 days 00:01:37.092000,6.0,1.0,,,31.041,42.187,23.864,0 days 01:08:35.420000,0 days 01:09:17.607000,0 days 01:09:41.471000,,247.0,276.0,296.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:08:04.379000,2024-03-02 15:11:46.810,1,1.0,False,,False,True,97.092,97.092
6,0 days 01:11:18.509000,VER,1,0 days 00:01:37.038000,7.0,1.0,,,31.015,42.118,23.905,0 days 01:10:12.486000,0 days 01:10:54.604000,0 days 01:11:18.509000,232.0,242.0,277.0,291.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:09:41.471000,2024-03-02 15:13:23.902,1,1.0,False,,False,True,97.038,97.03800000000001
7,0 days 01:12:55.533000,VER,1,0 days 00:01:37.024000,8.0,1.0,,,31.041,42.077,23.906,0 days 01:11:49.550000,0 days 01:12:31.627000,0 days 01:12:55.533000,231.0,250.0,277.0,,False,SOFT,11.0,False,Red Bull Racing,0 days 01:11:18.509000,2024-03-02 15:15:00.940,1,1.0,False,,False,True,97.024,97.024
8,0 days 01:14:32.762000,VER,1,0 days 00:01:37.229000,9.0,1.0,,,31.1,42.166,23.963,0 days 01:13:26.633000,0 days 01:14:08.799000,0 days 01:14:32.762000,,243.0,276.0,292.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:12:55.533000,2024-03-02 15:16:37.964,1,1.0,False,,False,True,97.229,97.22899999999998
9,0 days 01:16:09.722000,VER,1,0 days 00:01:36.960000,10.0,1.0,,,30.986,42.009,23.965,0 days 01:15:03.748000,0 days 01:15:45.757000,0 days 01:16:09.722000,232.0,244.0,277.0,293.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:14:32.762000,2024-03-02 15:18:15.193,2,1.0,False,,False,True,96.96,96.96000000000001
10,0 days 01:17:46.807000,VER,1,0 days 00:01:37.085000,11.0,1.0,,,30.974,42.142,23.969,0 days 01:16:40.696000,0 days 01:17:22.838000,0 days 01:17:46.807000,,246.0,277.0,292.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:16:09.722000,2024-03-02 15:19:52.153,2,1.0,False,,False,True,97.085,97.08500000000001
11,0 days 01:19:23.852000,VER,1,0 days 00:01:37.045000,12.0,1.0,,,30.966,42.091,23.988,0 days 01:18:17.773000,0 days 01:18:59.864000,0 days 01:19:23.852000,234.0,249.0,277.0,,False,SOFT,15.0,False,Red Bull Racing,0 days 01:17:46.807000,2024-03-02 15:21:29.238,1,1.0,False,,False,True,97.045,97.045
12,0 days 01:21:00.882000,VER,1,0 days 00:01:37.030000,13.0,1.0,,,30.964,42.055,24.011,0 days 01:19:54.816000,0 days 01:20:36.871000,0 days 01:21:00.882000,233.0,251.0,277.0,,False,SOFT,16.0,False,Red Bull Racing,0 days 01:19:23.852000,2024-03-02 15:23:06.283,1,1.0,False,,False,True,97.03,97.03
